Image,Entropy(bits),Avg_Gradient,time/frame
0281_dehazed.png,7.6017,49.9098,0.0193
0282_dehazed.png,7.6008,50.0301,0.0246
0283_dehazed.png,7.6003,49.9806,0.0232
0284_dehazed.png,7.5986,50.0388,0.0274
0285_dehazed.png,7.5984,50.0759,0.0286
0286_dehazed.png,7.598,50.0945,0.0276
0287_dehazed.png,7.5996,50.1679,0.0225
0288_dehazed.png,7.5994,50.1989,0.0251
0289_dehazed.png,7.6023,50.5006,0.0247
0290_dehazed.png,7.5997,50.4719,0.0221
0291_dehazed.png,7.5986,50.5063,0.0197
0292_dehazed.png,7.5984,50.5402,0.0223
0293_dehazed.png,7.598,50.5757,0.0296
0294_dehazed.png,7.5971,50.6404,0.0267
0295_dehazed.png,7.5969,50.6842,0.0298
0296_dehazed.png,7.5964,50.7331,0.0269
0297_dehazed.png,7.5954,50.7773,0.0270
0298_dehazed.png,7.5952,50.8235,0.0195
0299_dehazed.png,7.5954,50.8541,0.0289
0300_dehazed.png,7.5945,50.8882,0.0253
0301_dehazed.png,7.6018,51.2932,0.0220
0302_dehazed.png,7.5985,51.2445,0.0208
0303_dehazed.png,7.5978,51.2486,0.0196
0304_dehazed.png,7.5969,51.246,0.0272
0305_dehazed.png,7.5959,51.258,0.0240
0306_dehazed.png,7.5952,51.2929,0.0190
0307_dehazed.png,7.5958,51.3184,0.0275
0308_dehazed.png,7.5951,51.3161,0.0232
0309_dehazed.png,7.5946,51.3341,0.0264
0310_dehazed.png,7.5942,51.3533,0.0207
0311_dehazed.png,7.5944,51.3886,0.0245
0312_dehazed.png,7.5946,51.4063,0.0261
0313_dehazed.png,7.6015,51.7404,0.0274
0314_dehazed.png,7.5981,51.7496,0.0258
0315_dehazed.png,7.5984,51.7489,0.0295
0316_dehazed.png,7.5986,51.7548,0.0298
0317_dehazed.png,7.5987,51.77,0.0213
0318_dehazed.png,7.5983,51.7649,0.0199
0319_dehazed.png,7.5978,51.7652,0.0276
0320_dehazed.png,7.5976,51.7656,0.0262
0321_dehazed.png,7.5974,51.757,0.0290
0322_dehazed.png,7.5962,51.7242,0.0198
0323_dehazed.png,7.5961,51.7202,0.0234
0324_dehazed.png,7.5963,51.7199,0.0265
0325_dehazed.png,7.6025,51.9351,0.0240
0326_dehazed.png,7.5994,51.8827,0.0221
0327_dehazed.png,7.5993,51.876,0.0256
0328_dehazed.png,7.5993,51.8772,0.0271
0329_dehazed.png,7.5982,51.8812,0.0193
0330_dehazed.png,7.5983,51.8986,0.0300
0331_dehazed.png,7.5985,51.9095,0.0209
0332_dehazed.png,7.5975,51.9031,0.0204
0333_dehazed.png,7.5982,51.9227,0.0283
0334_dehazed.png,7.5972,51.9344,0.0215
0335_dehazed.png,7.597,51.937,0.0253
0336_dehazed.png,7.5978,51.9304,0.0285
0337_dehazed.png,7.603,52.1439,0.0291
0338_dehazed.png,7.6,52.0909,0.0285
0339_dehazed.png,7.5993,52.0686,0.0228
0340_dehazed.png,7.5994,52.0596,0.0200
0341_dehazed.png,7.5997,52.0677,0.0302
0342_dehazed.png,7.5993,52.0775,0.0231
0343_dehazed.png,7.5996,52.099,0.0258
0344_dehazed.png,7.5995,52.0913,0.0293
0345_dehazed.png,7.5995,52.0926,0.0221
0346_dehazed.png,7.5987,52.0834,0.0280
0347_dehazed.png,7.5988,52.0776,0.0220
0348_dehazed.png,7.5972,52.0762,0.0196
0349_dehazed.png,7.6018,52.2803,0.0275
0350_dehazed.png,7.5972,52.2143,0.0259
0351_dehazed.png,7.5961,52.083,0.0196
0352_dehazed.png,7.593,52.0469,0.0265
0353_dehazed.png,7.5924,52.0304,0.0205
0354_dehazed.png,7.5919,52.0178,0.0240
0355_dehazed.png,7.5911,52.0161,0.0260
0356_dehazed.png,7.5903,52.0095,0.0294
0357_dehazed.png,7.5883,52.0037,0.0241
0358_dehazed.png,7.5874,51.9978,0.0216
0359_dehazed.png,7.5871,51.9989,0.0263
0360_dehazed.png,7.5866,51.9823,0.0213
0361_dehazed.png,7.5913,51.9842,0.0278
0362_dehazed.png,7.5875,51.9405,0.0201
0363_dehazed.png,7.5859,51.9129,0.0290
0364_dehazed.png,7.5859,51.9177,0.0209
0365_dehazed.png,7.5862,51.9259,0.0296
0366_dehazed.png,7.5862,51.9285,0.0221
0367_dehazed.png,7.5865,51.9207,0.0209
0368_dehazed.png,7.5861,51.9174,0.0269
0369_dehazed.png,7.586,51.9141,0.0237
0370_dehazed.png,7.5857,51.9281,0.0199
0371_dehazed.png,7.5859,51.931,0.0228
0372_dehazed.png,7.586,51.9488,0.0278
0373_dehazed.png,7.5892,52.0873,0.0273
0374_dehazed.png,7.5851,52.0321,0.0236
0375_dehazed.png,7.5849,52.0261,0.0284
0376_dehazed.png,7.5848,52.0168,0.0231
0377_dehazed.png,7.5848,52.0257,0.0291
0378_dehazed.png,7.5848,52.0121,0.0262
0379_dehazed.png,7.5846,52.0167,0.0222
0380_dehazed.png,7.5845,52.0235,0.0272
0381_dehazed.png,7.5847,52.0285,0.0271
0382_dehazed.png,7.5845,52.0267,0.0261
0383_dehazed.png,7.5842,52.0253,0.0266
0384_dehazed.png,7.5831,52.0192,0.0232
0385_dehazed.png,7.5853,52.164,0.0286
0386_dehazed.png,7.5755,52.1946,0.0287
0387_dehazed.png,7.5681,52.0649,0.0238
0388_dehazed.png,7.5609,51.942,0.0292
0389_dehazed.png,7.5567,51.8852,0.0250
0390_dehazed.png,7.5526,51.8101,0.0195
0391_dehazed.png,7.5476,51.7252,0.0207
0392_dehazed.png,7.5419,51.627,0.0232
0393_dehazed.png,7.5382,51.6096,0.0231
0394_dehazed.png,7.5347,51.4759,0.0256
0395_dehazed.png,7.5312,51.3591,0.0223
0396_dehazed.png,7.5286,51.3272,0.0282
0397_dehazed.png,7.5331,51.4667,0.0264
0398_dehazed.png,7.5269,51.4037,0.0252
0399_dehazed.png,7.5265,51.3362,0.0195
0400_dehazed.png,7.525,51.3073,0.0195
0401_dehazed.png,7.5234,51.1143,0.0279
